iteration,fitness,x0,x1
0, -275.307, 74.7165, 320.388
1, -783.843, 336.801, 512
2, -817.525, -309.463, 512
3, -817.376, -309.391, 511.914
4, -847.951, 348.503, 512
5, -847.945, 348.498, 511.998
6, -886.09, 347.129, 496.682
7, -886.082, 347.145, 496.658
8, -886.068, 347.153, 496.636
9, -886.054, 347.137, 496.638
10, -886.034, 347.134, 496.622
11, -886.044, 347.117, 496.648
12, -886.049, 347.14, 496.63
13, -886.052, 347.131, 496.642
14, -886.047, 347.115, 496.653
15, -958.355, 512, 403.819
16, -958.336, 511.996, 403.804
17, -958.324, 512, 403.787
18, -958.322, 511.999, 403.787
19, -958.323, 512, 403.786
20, -958.319, 511.991, 403.792
21, -958.321, 511.993, 403.791
22, -958.312, 511.992, 403.783
23, -958.32, 512, 403.783
24, -958.313, 512, 403.776
25, -958.306, 511.992, 403.777
26, -958.291, 511.981, 403.773
27, -958.285, 511.972, 403.776
28, -958.268, 511.963, 403.767
29, -958.273, 511.974, 403.763
30, -958.271, 511.976, 403.758
31, -958.265, 511.973, 403.754
32, -958.266, 511.971, 403.758
33, -958.261, 511.974, 403.75
34, -958.261, 511.968, 403.755
35, -958.269, 511.975, 403.757
36, -958.272, 511.981, 403.754
37, -958.258, 511.973, 403.748
38, -958.264, 511.974, 403.753
39, -958.269, 511.978, 403.754
40, -958.263, 511.971, 403.755
41, -958.266, 511.968, 403.761
42, -958.266, 511.974, 403.755
43, -958.266, 511.974, 403.755
44, -958.256, 511.968, 403.752
45, -958.261, 511.97, 403.754
46, -958.264, 511.975, 403.752
47, -958.261, 511.974, 403.75
48, -958.268, 511.98, 403.751
49, -958.278, 511.985, 403.756
