iteration,fitness,x0,x1
0, 225.466, -246.094, -116.631
1, -844.752, 330.536, 488.727
2, -857.999, 351.703, 512
3, -858.04, 351.745, 512
4, -858.017, 351.745, 511.975
5, -858.006, 351.71, 512
6, -932.3, 512, 408.418
7, -932.249, 511.983, 408.382
8, -932.26, 511.971, 408.404
9, -932.273, 511.971, 408.417
10, -932.291, 511.996, 408.412
11, -932.269, 512, 408.386
12, -932.257, 511.993, 408.381
13, -932.231, 511.979, 408.368
14, -932.208, 511.959, 408.364
15, -932.185, 511.945, 408.354
16, -932.158, 511.931, 408.34
17, -955.307, 512, 405.989
18, -955.296, 511.998, 405.98
19, -955.295, 512, 405.977
20, -955.286, 512, 405.968
21, -955.272, 511.99, 405.964
22, -955.279, 511.996, 405.965
23, -955.274, 511.996, 405.961
24, -955.274, 511.989, 405.967
25, -955.28, 511.992, 405.97
26, -955.277, 511.989, 405.971
27, -955.263, 511.984, 405.961
28, -955.278, 511.989, 405.971
29, -955.283, 511.998, 405.967
30, -955.278, 512, 405.96
31, -955.27, 512, 405.953
32, -955.269, 511.992, 405.959
33, -955.264, 511.986, 405.96
34, -955.257, 511.978, 405.962
35, -955.254, 511.977, 405.958
36, -955.25, 511.976, 405.956
37, -955.255, 511.975, 405.962
38, -955.254, 511.969, 405.967
39, -955.254, 511.971, 405.965
40, -955.248, 511.968, 405.962
41, -955.256, 511.969, 405.969
42, -955.256, 511.976, 405.962
43, -955.254, 511.972, 405.964
44, -955.254, 511.974, 405.962
45, -955.253, 511.976, 405.959
46, -955.261, 511.98, 405.963
47, -955.266, 511.985, 405.963
48, -955.259, 511.984, 405.957
49, -955.257, 511.985, 405.954
