iteration,fitness,x0,x1
0, -198.385, -122.376, -478.506
1, -816.917, -312.963, 512
2, -816.898, -312.943, 512
3, -816.826, -312.944, 511.922
4, -816.929, -313.01, 511.965
5, -816.939, -313.024, 511.962
6, -872.919, 352.766, 509.419
7, -872.904, 352.782, 509.387
8, -872.914, 352.759, 509.421
9, -872.919, 352.748, 509.438
10, -919.774, 512, 409.152
11, -919.768, 512, 409.146
12, -919.781, 512, 409.159
13, -919.746, 511.986, 409.137
14, -919.748, 511.985, 409.139
15, -919.724, 511.975, 409.125
16, -919.729, 511.964, 409.139
17, -919.749, 511.971, 409.153
18, -919.774, 511.982, 409.168
19, -919.771, 511.989, 409.159
20, -919.779, 511.985, 409.17
21, -925.216, 436.047, 454.66
22, -925.214, 436.045, 454.66
23, -925.21, 436.048, 454.652
24, -925.197, 436.037, 454.651
25, -925.209, 436.045, 454.654
26, -925.195, 436.034, 454.652
27, -925.185, 436.029, 454.646
28, -925.186, 436.029, 454.647
29, -925.192, 436.033, 454.65
30, -925.197, 436.033, 454.654
31, -957.838, 512, 404.757
32, -957.829, 512, 404.748
33, -957.827, 512, 404.747
34, -957.831, 512, 404.751
35, -957.818, 511.995, 404.743
36, -957.819, 511.995, 404.744
37, -957.809, 511.99, 404.738
38, -957.81, 511.986, 404.744
39, -957.819, 511.989, 404.75
40, -957.831, 511.993, 404.757
41, -957.83, 511.997, 404.753
42, -957.833, 511.995, 404.758
43, -957.835, 511.993, 404.761
44, -957.835, 511.99, 404.765
45, -957.843, 511.994, 404.769
46, -957.847, 511.997, 404.77
47, -957.849, 511.997, 404.772
48, -957.854, 512, 404.775
49, -957.848, 511.995, 404.773
