iteration,fitness,x0,x1
0, -484.173, -477.474, 13.4557
1, -716.959, -304.055, 501.726
2, -716.976, -304.06, 501.742
3, -942.215, 512, 407.471
4, -942.22, 511.997, 407.479
5, -942.156, 511.988, 407.423
6, -957.994, 512, 404.915
7, -957.972, 512, 404.892
8, -957.925, 511.963, 404.882
9, -957.918, 511.948, 404.89
10, -957.887, 511.922, 404.884
11, -957.914, 511.925, 404.909
12, -957.899, 511.916, 404.903
13, -957.88, 511.913, 404.887
14, -957.845, 511.893, 404.872
15, -957.849, 511.902, 404.866
16, -957.862, 511.912, 404.87
17, -957.864, 511.921, 404.864
18, -957.847, 511.911, 404.855
19, -957.828, 511.903, 404.844
20, -957.839, 511.916, 404.842
21, -957.841, 511.916, 404.845
22, -957.847, 511.916, 404.851
23, -957.836, 511.903, 404.853
24, -957.842, 511.908, 404.854
25, -957.845, 511.918, 404.847
26, -957.842, 511.913, 404.849
27, -957.856, 511.918, 404.859
28, -957.858, 511.923, 404.855
29, -957.848, 511.919, 404.848
30, -957.853, 511.927, 404.845
31, -957.853, 511.921, 404.852
32, -957.85, 511.925, 404.844
33, -957.847, 511.931, 404.836
34, -957.86, 511.936, 404.844
35, -957.862, 511.943, 404.839
36, -957.858, 511.936, 404.842
37, -957.856, 511.936, 404.84
38, -957.859, 511.931, 404.848
39, -957.864, 511.933, 404.85
40, -957.856, 511.928, 404.847
41, -957.849, 511.925, 404.844
42, -957.846, 511.926, 404.841
43, -957.847, 511.92, 404.846
44, -957.846, 511.915, 404.85
45, -957.851, 511.916, 404.855
46, -957.85, 511.918, 404.851
47, -957.855, 511.922, 404.853
48, -957.85, 511.921, 404.848
49, -957.849, 511.921, 404.849
