iteration,fitness,x0,x1
0, -36.7267, 126.85, -80.5549
1, -732.363, -387.01, -408.361
2, -817.346, 341.115, 512
3, -817.338, 341.15, 511.961
4, -817.344, 341.198, 511.926
5, -817.366, 341.212, 511.937
6, -832.898, 366.699, 511.991
7, -832.844, 366.66, 511.971
8, -832.867, 366.688, 511.966
9, -832.831, 366.678, 511.935
10, -832.826, 366.656, 511.955
11, -832.84, 366.675, 511.951
12, -832.858, 366.674, 511.972
13, -832.845, 366.671, 511.961
14, -832.851, 366.691, 511.945
15, -832.862, 366.689, 511.96
16, -832.838, 366.681, 511.941
17, -832.823, 366.665, 511.942
18, -832.839, 366.677, 511.947
19, -832.821, 366.665, 511.939
20, -832.834, 366.669, 511.95
21, -832.828, 366.657, 511.957
22, -832.847, 366.67, 511.964
23, -919.774, 512, 409.152
24, -919.765, 511.989, 409.153
25, -919.776, 511.997, 409.156
26, -919.763, 511.989, 409.151
27, -919.773, 511.992, 409.158
28, -943.495, 511.793, 399.802
29, -943.484, 511.786, 399.798
30, -943.477, 511.777, 399.8
31, -943.464, 511.771, 399.793
32, -943.456, 511.765, 399.791
33, -943.441, 511.759, 399.782
34, -943.439, 511.756, 399.783
35, -943.429, 511.754, 399.774
36, -943.427, 511.76, 399.766
37, -943.42, 511.752, 399.767
38, -943.414, 511.745, 399.768
39, -943.409, 511.742, 399.766
40, -943.405, 511.738, 399.765
41, -943.391, 511.732, 399.758
42, -943.393, 511.727, 399.764
43, -943.401, 511.733, 399.767
44, -943.409, 511.738, 399.77
45, -943.405, 511.732, 399.772
46, -943.398, 511.731, 399.766
47, -943.397, 511.734, 399.762
48, -943.386, 511.729, 399.756
49, -957.108, 512, 404.023
