iteration,fitness,x0,x1
0, -315.016, 243.194, 279.448
1, -566.191, -512, 380.33
2, -759.927, 418.719, 448.134
3, -768.941, -433.402, 374.133
4, -768.925, -433.41, 374.111
5, -768.991, -433.468, 374.129
6, -911.492, 506.235, 402.346
7, -911.478, 506.217, 402.349
8, -911.436, 506.201, 402.322
9, -911.448, 506.228, 402.308
10, -911.442, 506.232, 402.297
11, -911.416, 506.212, 402.29
12, -911.418, 506.217, 402.288
13, -911.441, 506.221, 402.307
14, -911.462, 506.221, 402.329
15, -911.474, 506.227, 402.336
16, -911.475, 506.221, 402.342
17, -911.468, 506.205, 402.35
18, -911.479, 506.204, 402.363
19, -952.07, 512, 401.348
20, -952.077, 511.996, 401.359
21, -952.055, 511.987, 401.346
22, -952.055, 511.999, 401.334
23, -952.068, 512, 401.346
24, -952.067, 511.998, 401.347
25, -952.07, 512, 401.348
26, -952.064, 511.995, 401.347
27, -952.068, 511.992, 401.354
28, -952.069, 512, 401.347
29, -952.077, 511.998, 401.357
30, -952.078, 511.992, 401.364
31, -952.071, 511.987, 401.362
32, -952.065, 511.982, 401.361
33, -952.058, 511.974, 401.362
34, -952.061, 511.972, 401.367
35, -952.065, 511.977, 401.366
36, -952.072, 511.984, 401.367
37, -952.076, 511.992, 401.363
38, -952.081, 511.991, 401.369
39, -952.086, 511.997, 401.367
40, -952.083, 511.997, 401.365
41, -952.079, 511.989, 401.367
42, -952.084, 511.994, 401.368
43, -952.089, 511.999, 401.369
44, -952.095, 512, 401.373
45, -952.091, 511.996, 401.373
46, -952.1, 511.999, 401.38
47, -952.095, 512, 401.374
48, -952.095, 511.995, 401.378
49, -952.093, 511.99, 401.382
