iteration,fitness,x0,x1
0, 312.127, 331.094, -252.764
1, -864.312, 425.245, 448.976
2, -864.323, 425.334, 448.908
3, -864.487, 425.411, 449.006
4, -864.481, 425.367, 449.038
5, -864.489, 425.371, 449.043
6, -864.478, 425.356, 449.045
7, -957.497, 512, 404.415
8, -957.5, 512, 404.418
9, -957.492, 511.99, 404.419
10, -957.496, 511.995, 404.418
11, -957.52, 512, 404.437
12, -957.528, 512, 404.446
13, -957.55, 511.999, 404.469
14, -957.569, 512, 404.487
15, -957.554, 512, 404.472
16, -957.558, 512, 404.475
17, -957.556, 511.996, 404.478
18, -957.547, 512, 404.464
19, -957.517, 511.985, 404.449
20, -957.506, 511.981, 404.442
21, -957.505, 511.969, 404.453
22, -957.523, 511.976, 404.465
23, -957.536, 511.977, 404.476
24, -957.537, 511.988, 404.467
25, -957.534, 511.978, 404.473
26, -957.539, 511.977, 404.479
27, -957.538, 511.982, 404.473
28, -957.548, 511.987, 404.479
29, -957.541, 511.977, 404.481
30, -957.529, 511.972, 404.474
31, -957.537, 511.973, 404.482
32, -957.538, 511.966, 404.489
33, -957.542, 511.97, 404.489
34, -957.556, 511.978, 404.496
35, -957.561, 511.98, 404.498
36, -957.562, 511.988, 404.492
37, -957.562, 511.986, 404.494
38, -957.556, 511.981, 404.493
39, -957.557, 511.988, 404.487
40, -957.548, 511.985, 404.481
41, -957.543, 511.986, 404.474
42, -957.55, 511.991, 404.478
43, -957.543, 511.987, 404.474
44, -957.544, 511.986, 404.476
45, -957.543, 511.986, 404.475
46, -957.543, 511.982, 404.479
47, -957.545, 511.988, 404.475
48, -957.543, 511.988, 404.473
49, -957.536, 511.987, 404.467
