iteration,fitness,x0,x1
0, 193.064, -221.117, 206.614
1, -587.752, 303.972, -512
2, -816.119, -312.119, 512
3, -816.109, -312.108, 512
4, -816.103, -312.137, 511.965
5, -816.127, -312.127, 512
6, -816.104, -312.113, 511.99
7, -816.066, -312.085, 511.977
8, -816.1, -312.103, 511.996
9, -874.152, 486.778, 438.732
10, -909.835, 449.023, 459.331
11, -909.848, 449.037, 459.33
12, -909.817, 449.013, 459.321
13, -909.813, 449.014, 459.316
14, -909.812, 448.997, 459.333
15, -909.845, 449.012, 459.352
16, -909.853, 449.007, 459.365
17, -909.856, 449.003, 459.372
18, -909.874, 449.012, 459.382
19, -909.867, 449.018, 459.369
20, -927.529, 512, 398.529
21, -927.543, 512, 398.543
22, -927.549, 511.997, 398.553
23, -927.551, 511.994, 398.557
24, -927.564, 512, 398.565
25, -927.555, 512, 398.555
26, -927.553, 512, 398.554
27, -927.549, 512, 398.549
28, -927.55, 512, 398.55
29, -927.556, 512, 398.556
30, -927.557, 511.994, 398.564
31, -927.551, 511.993, 398.558
32, -927.555, 511.992, 398.563
33, -927.54, 511.986, 398.554
34, -927.534, 511.987, 398.548
35, -927.526, 511.984, 398.542
36, -927.538, 511.992, 398.546
37, -927.532, 511.992, 398.54
38, -927.526, 511.988, 398.537
39, -927.521, 511.99, 398.531
40, -927.525, 511.988, 398.536
41, -927.517, 511.983, 398.533
42, -927.514, 511.986, 398.527
43, -927.511, 511.989, 398.522
44, -927.512, 511.988, 398.523
45, -927.522, 511.994, 398.527
46, -927.523, 511.998, 398.525
47, -927.514, 511.992, 398.522
48, -929.76, 442.016, 454.264
49, -929.759, 442.018, 454.261
