iteration,fitness,x0,x1
0, -441.52, -491.151, -388.618
1, -822.938, 512, 414.24
2, -822.819, 512, 414.121
3, -822.824, 512, 414.125
4, -822.853, 511.953, 414.189
5, -822.805, 511.952, 414.141
6, -822.803, 511.993, 414.109
7, -822.79, 511.974, 414.11
8, -955.114, 512, 405.796
9, -955.119, 512, 405.8
10, -955.097, 512, 405.778
11, -955.084, 512, 405.766
12, -955.066, 512, 405.747
13, -955.071, 512, 405.752
14, -955.058, 512, 405.739
15, -955.064, 511.999, 405.745
16, -955.037, 511.983, 405.735
17, -955.027, 511.973, 405.735
18, -955.021, 511.966, 405.736
19, -955.014, 511.957, 405.737
20, -955.017, 511.972, 405.726
21, -955.025, 511.98, 405.726
22, -955.028, 511.971, 405.738
23, -955.018, 511.971, 405.727
24, -955.02, 511.982, 405.719
25, -955.015, 511.976, 405.72
26, -957.6, 512, 404.518
27, -957.597, 512, 404.516
28, -957.59, 511.996, 404.511
29, -957.584, 512, 404.502
30, -957.585, 511.994, 404.509
31, -957.583, 511.994, 404.507
32, -957.58, 511.991, 404.507
33, -957.584, 511.996, 404.505
34, -957.581, 511.998, 404.501
35, -957.585, 511.996, 404.507
36, -957.58, 511.998, 404.5
37, -957.586, 512, 404.504
38, -957.58, 512, 404.498
39, -957.583, 511.999, 404.502
40, -957.571, 511.994, 404.495
41, -957.569, 511.998, 404.489
42, -957.576, 512, 404.494
43, -957.573, 512, 404.491
44, -957.571, 511.999, 404.49
45, -957.561, 511.994, 404.485
46, -957.555, 511.989, 404.484
47, -957.556, 511.992, 404.481
48, -957.551, 511.991, 404.477
49, -957.552, 511.994, 404.476
