iteration,fitness,x0,x1
0, 409.926, -482.878, -118.881
1, -849.596, 338.051, 485.564
2, -849.546, 337.987, 485.577
3, -849.519, 338.025, 485.512
4, -849.6, 338.069, 485.55
5, -849.593, 338.062, 485.55
6, -958.069, 512, 404.99
7, -957.994, 511.959, 404.956
8, -957.998, 511.967, 404.951
9, -953.356, 511.956, 404.964
10, -953.366, 511.954, 404.977
11, -953.363, 511.941, 404.986
12, -953.363, 511.962, 404.966
13, -953.348, 511.956, 404.957
14, -953.333, 511.945, 404.953
15, -953.37, 511.962, 404.973
16, -953.364, 511.954, 404.974
17, -953.358, 511.941, 404.981
18, -953.346, 511.926, 404.984
19, -953.34, 511.932, 404.972
20, -953.346, 511.934, 404.977
21, -953.344, 511.925, 404.983
22, -953.36, 511.938, 404.987
23, -953.368, 511.949, 404.983
24, -953.363, 511.95, 404.978
25, -953.371, 511.958, 404.977
26, -953.383, 511.96, 404.989
27, -953.371, 511.95, 404.985
28, -953.365, 511.941, 404.989
29, -953.36, 511.935, 404.99
30, -953.36, 511.943, 404.983
31, -953.357, 511.941, 404.98
32, -953.354, 511.937, 404.981
33, -953.351, 511.941, 404.975
34, -953.361, 511.946, 404.98
35, -953.36, 511.945, 404.98
36, -953.368, 511.951, 404.982
37, -953.375, 511.954, 404.986
38, -953.369, 511.948, 404.986
39, -953.37, 511.945, 404.989
40, -953.375, 511.953, 404.987
41, -953.373, 511.952, 404.985
42, -953.371, 511.948, 404.988
43, -953.378, 511.953, 404.99
44, -953.374, 511.948, 404.991
45, -953.363, 511.943, 404.985
46, -953.359, 511.945, 404.979
47, -953.351, 511.941, 404.974
48, -953.354, 511.942, 404.976
49, -958.153, 512, 403.615
