iteration,fitness,x0,x1
0, -343.209, -493.324, -23.7585
1, -807.352, 370.692, 512
2, -807.268, 370.6, 512
3, -807.338, 370.677, 512
4, -807.367, 370.732, 511.974
5, -807.274, 370.674, 511.927
6, -807.303, 370.678, 511.957
7, -807.329, 370.7, 511.964
8, -807.304, 370.667, 511.969
9, -807.313, 370.652, 511.998
10, -942.593, 512, 407.85
11, -942.568, 511.984, 407.84
12, -942.573, 511.993, 407.836
13, -942.562, 511.999, 407.82
14, -942.535, 511.984, 407.807
15, -942.556, 511.996, 407.817
16, -942.554, 511.991, 407.82
17, -942.529, 511.98, 407.805
18, -942.539, 511.979, 407.816
19, -942.528, 511.98, 407.804
20, -942.526, 511.975, 407.806
21, -942.539, 511.979, 407.815
22, -942.529, 511.978, 407.807
23, -942.522, 511.967, 407.811
24, -942.516, 511.962, 407.809
25, -942.499, 511.953, 407.801
26, -942.487, 511.946, 407.795
27, -942.482, 511.946, 407.79
28, -942.474, 511.947, 407.78
29, -957.968, 512, 403.428
30, -957.958, 511.992, 403.426
31, -957.97, 512, 403.43
32, -957.972, 511.998, 403.433
33, -957.971, 511.994, 403.437
34, -957.968, 511.996, 403.432
35, -957.963, 511.994, 403.429
36, -957.963, 511.988, 403.435
37, -957.964, 511.985, 403.439
38, -957.964, 511.985, 403.439
39, -957.972, 511.987, 403.445
40, -957.977, 511.987, 403.45
41, -957.972, 511.982, 403.451
42, -957.968, 511.978, 403.45
43, -957.962, 511.975, 403.448
44, -957.965, 511.976, 403.449
45, -957.961, 511.97, 403.452
46, -957.961, 511.974, 403.447
47, -957.963, 511.978, 403.445
48, -957.962, 511.972, 403.45
49, -957.962, 511.971, 403.451
