iteration,fitness,x0,x1
0, 179.174, 507.682, 212.63
1, -692.545, -453.555, -366.299
2, -937.481, 512, 399.187
3, -937.496, 511.963, 399.239
4, -937.546, 511.985, 399.268
5, -937.581, 511.977, 399.312
6, -937.572, 511.946, 399.334
7, -937.554, 511.966, 399.295
8, -937.578, 511.965, 399.32
9, -937.585, 511.942, 399.352
10, -937.578, 511.917, 399.368
11, -937.597, 511.935, 399.37
12, -937.596, 511.955, 399.349
13, -937.617, 511.961, 399.364
14, -937.605, 511.942, 399.371
15, -937.63, 511.956, 399.383
16, -937.623, 511.946, 399.387
17, -937.627, 511.939, 399.396
18, -937.63, 511.935, 399.404
19, -945.887, 512, 400.335
20, -945.89, 511.995, 400.342
21, -945.899, 511.999, 400.348
22, -945.907, 511.997, 400.358
23, -945.904, 511.989, 400.364
24, -945.899, 511.995, 400.352
25, -945.907, 511.994, 400.36
26, -945.91, 511.986, 400.371
27, -945.907, 511.977, 400.377
28, -945.915, 511.984, 400.378
29, -945.914, 511.992, 400.369
30, -945.923, 511.995, 400.376
31, -945.917, 511.987, 400.379
32, -945.93, 511.993, 400.385
33, -945.926, 511.988, 400.386
34, -945.928, 511.985, 400.391
35, -945.929, 511.983, 400.395
36, -945.934, 511.984, 400.398
37, -945.932, 511.987, 400.394
38, -945.937, 511.991, 400.394
39, -945.941, 511.994, 400.395
40, -945.944, 511.991, 400.402
41, -945.945, 511.99, 400.404
42, -945.945, 511.994, 400.399
43, -945.942, 511.988, 400.402
44, -945.939, 511.991, 400.396
45, -945.939, 511.987, 400.4
46, -945.943, 511.989, 400.403
47, -952.191, 512, 401.471
48, -952.185, 512, 401.465
49, -952.185, 511.996, 401.469
