iteration,fitness,x0,x1
0, 150.454, -230.879, 110.002
1, -531.316, -512, -11.7877
2, -682.859, -478.065, 413.585
3, -755.649, -338.381, 510.46
4, -755.599, -338.337, 510.451
5, -859.757, 359.682, 512
6, -859.764, 359.689, 512
7, -859.739, 359.697, 511.963
8, -859.689, 359.678, 511.928
9, -859.673, 359.665, 511.925
10, -859.679, 359.69, 511.903
11, -859.701, 359.717, 511.898
12, -885.535, 512, 395.815
13, -885.521, 511.985, 395.815
14, -885.518, 511.968, 395.828
15, -932.168, 512, 408.285
16, -932.181, 512, 408.298
17, -932.167, 511.991, 408.293
18, -932.167, 511.995, 408.289
19, -932.172, 511.998, 408.291
20, -932.162, 512, 408.28
21, -932.151, 511.996, 408.272
22, -932.14, 511.989, 408.268
23, -956.603, 511.984, 402.889
24, -956.607, 511.984, 402.892
25, -956.605, 511.983, 402.891
26, -956.593, 511.981, 402.882
27, -956.595, 511.978, 402.886
28, -958.241, 512, 403.704
29, -958.234, 511.995, 403.702
30, -958.226, 511.99, 403.698
31, -958.218, 511.99, 403.691
32, -958.221, 511.984, 403.699
33, -958.218, 511.984, 403.697
34, -958.217, 511.989, 403.69
35, -958.217, 511.983, 403.696
36, -958.222, 511.989, 403.695
37, -958.216, 511.981, 403.697
38, -958.224, 511.984, 403.703
39, -958.219, 511.98, 403.701
40, -958.208, 511.972, 403.698
41, -958.211, 511.979, 403.695
42, -958.205, 511.975, 403.692
43, -958.207, 511.974, 403.695
44, -958.206, 511.98, 403.689
45, -958.198, 511.975, 403.685
46, -958.206, 511.979, 403.69
47, -958.209, 511.979, 403.692
48, -958.219, 511.983, 403.698
49, -958.22, 511.986, 403.697
