iteration,fitness,x0,x1
0, 134.861, -228.407, 210.734
1, -765.52, -474.494, 368.847
2, -765.591, -474.605, 368.789
3, -765.485, -474.565, 368.696
4, -799.654, -329.655, 512
5, -799.648, -329.649, 512
6, -799.625, -329.626, 512
7, -799.621, -329.653, 511.962
8, -799.653, -329.684, 511.963
9, -838.289, 345.603, 512
10, -906.113, 446.39, 455.401
11, -906.089, 446.364, 455.401
12, -912.794, 464.844, 420.72
13, -912.763, 464.834, 420.699
14, -912.741, 464.816, 420.694
15, -912.722, 464.809, 420.682
16, -912.731, 464.826, 420.674
17, -912.738, 464.837, 420.67
18, -912.733, 464.844, 420.658
19, -912.743, 464.854, 420.657
20, -912.725, 464.849, 420.644
21, -912.728, 464.859, 420.638
22, -912.742, 464.868, 420.643
23, -946.297, 512, 400.752
24, -946.291, 512, 400.746
25, -946.29, 511.993, 400.752
26, -946.295, 512, 400.75
27, -946.293, 511.999, 400.749
28, -946.29, 512, 400.745
29, -946.3, 512, 400.755
30, -946.304, 512, 400.759
31, -946.3, 512, 400.755
32, -946.287, 511.991, 400.75
33, -946.294, 511.993, 400.756
34, -946.295, 511.986, 400.764
35, -946.297, 511.983, 400.769
36, -946.294, 511.98, 400.768
37, -946.294, 511.987, 400.763
38, -946.287, 511.982, 400.76
39, -946.282, 511.981, 400.756
40, -946.279, 511.978, 400.755
41, -946.274, 511.974, 400.754
42, -946.267, 511.973, 400.749
43, -946.256, 511.967, 400.743
44, -946.254, 511.971, 400.738
45, -946.257, 511.971, 400.741
46, -946.255, 511.973, 400.737
47, -946.26, 511.972, 400.743
48, -946.257, 511.97, 400.742
49, -946.259, 511.967, 400.746
