iteration,fitness,x0,x1
0, -145.352, -281.479, -63.6486
1, -814.822, -318.815, 512
2, -814.615, -318.7, 511.895
3, -814.697, -318.714, 511.971
4, -957.19, 512, 404.106
5, -957.135, 511.955, 404.095
6, -957.056, 511.917, 404.054
7, -955.972, 511.88, 404.051
8, -957.053, 511.883, 404.085
9, -957.038, 511.889, 404.063
10, -955.975, 511.9, 404.035
11, -957.042, 511.895, 404.061
12, -957.047, 511.88, 404.081
13, -957.049, 511.902, 404.061
14, -957.063, 511.9, 404.078
15, -957.065, 511.901, 404.079
16, -957.169, 512, 404.084
17, -957.153, 511.987, 404.081
18, -957.126, 511.974, 404.067
19, -957.112, 511.96, 404.066
20, -957.126, 511.962, 404.08
21, -957.12, 511.964, 404.07
22, -957.112, 511.969, 404.058
23, -957.122, 511.967, 404.07
24, -957.125, 511.959, 404.08
25, -958.066, 512, 403.527
26, -958.072, 512, 403.533
27, -958.069, 511.997, 403.532
28, -958.07, 512, 403.531
29, -958.062, 512, 403.523
30, -958.056, 511.992, 403.525
31, -958.06, 512, 403.521
32, -958.059, 511.995, 403.526
33, -958.07, 511.998, 403.533
34, -958.066, 511.994, 403.533
35, -958.064, 512, 403.525
36, -958.058, 512, 403.519
37, -958.053, 512, 403.514
38, -958.052, 512, 403.513
39, -958.051, 511.993, 403.518
40, -958.056, 511.998, 403.519
41, -958.056, 511.995, 403.522
42, -958.05, 511.994, 403.517
43, -958.054, 511.993, 403.522
44, -958.049, 511.993, 403.517
45, -958.05, 511.998, 403.512
46, -958.054, 511.998, 403.517
47, -958.05, 512, 403.511
48, -958.046, 511.997, 403.51
49, -958.046, 512, 403.506
