iteration,fitness,x0,x1
0, 234.177, -135.425, -356.08
1, -786.78, -332.268, 512
2, -837.948, 345.224, 512
3, -838.036, 345.321, 512
4, -849.682, 362.357, 512
5, -849.727, 362.402, 512
6, -860.236, 356.501, 512
7, -860.197, 356.491, 511.968
8, -860.253, 356.519, 511.999
9, -860.284, 356.549, 512
10, -860.257, 356.54, 511.982
11, -860.243, 356.518, 511.989
12, -883.798, 344.092, 494.478
13, -883.826, 344.111, 494.487
14, -905.025, 512, 410.063
15, -905.012, 511.982, 410.067
16, -905.026, 511.978, 410.083
17, -905.02, 511.981, 410.075
18, -958.311, 512, 403.775
19, -958.305, 512, 403.769
20, -958.32, 512, 403.783
21, -958.307, 511.999, 403.771
22, -958.307, 512, 403.77
23, -958.305, 512, 403.768
24, -958.293, 512, 403.757
25, -958.292, 511.993, 403.762
26, -958.304, 512, 403.767
27, -958.311, 512, 403.774
28, -958.32, 512, 403.784
29, -958.314, 512, 403.777
30, -958.306, 511.999, 403.77
31, -958.31, 512, 403.773
32, -958.309, 511.996, 403.776
33, -958.305, 512, 403.768
34, -958.291, 511.994, 403.76
35, -958.292, 511.998, 403.757
36, -958.293, 512, 403.756
37, -958.297, 512, 403.76
38, -958.296, 512, 403.759
39, -958.299, 512, 403.762
40, -958.295, 512, 403.758
41, -958.293, 511.996, 403.76
42, -958.294, 512, 403.757
43, -958.287, 511.996, 403.755
44, -958.281, 511.99, 403.754
45, -958.285, 511.992, 403.756
46, -958.285, 511.99, 403.758
47, -958.282, 511.99, 403.755
48, -958.29, 511.996, 403.757
49, -958.281, 511.99, 403.754
