iteration,fitness,x0,x1
0, -363.558, -314.114, 159.303
1, -810.335, 492.382, 450.494
2, -810.242, 492.314, 450.447
3, -810.169, 492.289, 450.384
4, -847.435, 330.605, 488.976
5, -847.449, 330.578, 489.018
6, -847.412, 330.576, 488.982
7, -847.424, 330.562, 489.008
8, -847.367, 330.534, 488.977
9, -847.339, 330.514, 488.969
10, -847.372, 330.537, 488.98
11, -915.159, 512, 397.395
12, -949.342, 512, 406.124
13, -949.364, 512, 406.147
14, -949.379, 512, 406.161
15, -949.373, 511.993, 406.163
16, -949.347, 511.98, 406.149
17, -949.353, 511.97, 406.165
18, -949.346, 511.955, 406.173
19, -949.366, 511.966, 406.182
20, -949.369, 511.955, 406.195
21, -949.369, 511.943, 406.207
22, -949.376, 511.941, 406.216
23, -949.377, 511.933, 406.224
24, -949.388, 511.933, 406.236
25, -949.377, 511.932, 406.227
26, -949.383, 511.933, 406.23
27, -949.397, 511.937, 406.241
28, -949.399, 511.939, 406.241
29, -957.206, 512, 404.121
30, -957.201, 511.991, 404.126
31, -957.213, 511.998, 404.131
32, -957.215, 511.991, 404.14
33, -957.215, 511.983, 404.147
34, -957.22, 511.982, 404.153
35, -958.176, 512, 403.638
36, -958.18, 511.996, 403.646
37, -958.173, 511.993, 403.642
38, -958.171, 511.993, 403.64
39, -958.168, 511.99, 403.64
40, -958.167, 511.983, 403.646
41, -958.171, 511.984, 403.649
42, -958.168, 511.981, 403.648
43, -958.172, 511.981, 403.653
44, -958.169, 511.975, 403.656
45, -958.173, 511.98, 403.655
46, -958.178, 511.984, 403.656
47, -958.177, 511.982, 403.657
48, -958.311, 512, 403.774
49, -958.311, 511.995, 403.779
