iteration,fitness,x0,x1
0, -233.681, 119.506, 338.845
1, -751.831, -429.939, 376.813
2, -818.429, -439.729, 382.641
3, -818.468, -439.71, 382.701
4, -838.105, 348.176, 487.807
5, -937.752, 512, 399.464
6, -937.68, 511.963, 399.428
7, -937.741, 511.986, 399.466
8, -937.69, 511.958, 399.443
9, -937.665, 511.957, 399.418
10, -937.644, 511.928, 399.426
11, -937.62, 511.917, 399.412
12, -937.63, 511.906, 399.433
13, -937.614, 511.887, 399.436
14, -937.595, 511.873, 399.429
15, -937.594, 511.882, 399.421
16, -937.595, 511.864, 399.439
17, -937.585, 511.854, 399.439
18, -937.588, 511.842, 399.454
19, -937.606, 511.857, 399.458
20, -951.99, 512, 401.267
21, -951.98, 511.988, 401.269
22, -951.967, 511.98, 401.265
23, -951.967, 511.985, 401.259
24, -957.409, 512, 404.326
25, -957.398, 511.992, 404.322
26, -957.398, 511.997, 404.317
27, -957.398, 511.986, 404.328
28, -957.392, 511.98, 404.328
29, -957.394, 511.973, 404.337
30, -957.406, 511.983, 404.34
31, -957.41, 511.987, 404.339
32, -957.402, 511.981, 404.338
33, -957.4, 511.976, 404.341
34, -957.405, 511.979, 404.343
35, -957.4, 511.975, 404.342
36, -957.406, 511.976, 404.346
37, -957.414, 511.979, 404.353
38, -957.413, 511.972, 404.358
39, -957.41, 511.966, 404.361
40, -958.463, 512, 403.928
41, -958.47, 512, 403.935
42, -958.471, 512, 403.936
43, -958.467, 512, 403.932
44, -958.46, 511.997, 403.928
45, -958.454, 511.993, 403.925
46, -958.464, 511.998, 403.931
47, -958.471, 512, 403.936
48, -958.471, 511.995, 403.94
49, -958.462, 511.991, 403.935
