iteration,fitness,x0,x1
0, 101.497, -78.9873, -175.871
1, -826.589, -486.25, 397.962
2, -826.618, -486.255, 397.987
3, -826.632, -486.214, 398.033
4, -826.633, -486.276, 397.985
5, -826.664, -486.334, 397.97
6, -826.741, -486.37, 398.019
7, -920.409, 512, 409.787
8, -920.424, 511.993, 409.808
9, -920.424, 511.961, 409.838
10, -920.393, 511.932, 409.833
11, -920.36, 511.919, 409.812
12, -920.353, 511.912, 409.811
13, -932.236, 512, 408.354
14, -932.24, 511.995, 408.362
15, -932.238, 511.996, 408.359
16, -932.236, 512, 408.353
17, -932.23, 511.994, 408.354
18, -932.241, 512, 408.359
19, -956.205, 512, 402.47
20, -956.21, 511.997, 402.478
21, -956.209, 511.984, 402.491
22, -956.194, 511.97, 402.488
23, -956.178, 511.964, 402.479
24, -956.174, 511.961, 402.478
25, -956.163, 511.95, 402.477
26, -956.176, 511.955, 402.486
27, -956.177, 511.961, 402.481
28, -956.182, 511.967, 402.479
29, -956.18, 511.969, 402.476
30, -956.189, 511.97, 402.484
31, -956.19, 511.967, 402.488
32, -956.175, 511.961, 402.479
33, -956.174, 511.96, 402.478
34, -956.183, 511.964, 402.484
35, -956.195, 511.969, 402.491
36, -956.187, 511.962, 402.49
37, -956.188, 511.966, 402.487
38, -956.199, 511.972, 402.492
39, -956.204, 511.979, 402.49
40, -956.206, 511.978, 402.493
41, -956.207, 511.975, 402.497
42, -956.201, 511.973, 402.492
43, -956.192, 511.967, 402.49
44, -956.194, 511.969, 402.49
45, -956.188, 511.969, 402.484
46, -957.292, 512, 404.208
47, -957.286, 511.998, 404.204
48, -957.278, 511.993, 404.201
49, -957.28, 511.994, 404.201
