iteration,fitness,x0,x1
0, 396.153, -487.991, 231.203
1, -608.508, -307.116, -484.198
2, -791.834, 337.221, 512
3, -791.774, 337.167, 511.981
4, -791.742, 337.146, 511.963
5, -791.649, 337.09, 511.91
6, -791.626, 337.051, 511.916
7, -791.64, 337.09, 511.901
8, -840.183, 365.341, 512
9, -840.144, 365.309, 511.991
10, -913.37, 431.205, 450.795
11, -913.334, 431.193, 450.769
12, -913.296, 431.171, 450.753
13, -913.312, 431.18, 450.761
14, -913.293, 431.178, 450.743
15, -913.293, 431.173, 450.748
16, -913.31, 431.177, 450.761
17, -913.299, 431.172, 450.754
18, -913.3, 431.184, 450.744
19, -913.3, 431.195, 450.734
20, -913.288, 431.191, 450.726
21, -954.522, 512, 405.2
22, -954.517, 511.988, 405.208
23, -954.512, 511.98, 405.21
24, -956.458, 512, 402.726
25, -956.452, 511.995, 402.725
26, -956.444, 511.989, 402.722
27, -956.44, 511.979, 402.729
28, -956.436, 511.973, 402.731
29, -956.454, 511.982, 402.739
30, -956.459, 511.986, 402.741
31, -956.457, 511.987, 402.738
32, -956.462, 511.989, 402.741
33, -956.459, 511.992, 402.734
34, -956.459, 511.994, 402.733
35, -956.465, 511.995, 402.738
36, -956.453, 511.987, 402.733
37, -956.461, 511.99, 402.738
38, -956.458, 511.985, 402.741
39, -956.459, 511.987, 402.74
40, -956.462, 511.991, 402.739
41, -956.461, 511.985, 402.744
42, -956.463, 511.991, 402.739
43, -956.471, 511.992, 402.746
44, -956.467, 511.989, 402.746
45, -956.468, 511.995, 402.741
46, -956.46, 511.989, 402.739
47, -956.468, 511.992, 402.744
48, -956.46, 511.986, 402.742
49, -956.456, 511.986, 402.738
