iteration,fitness,x0,x1
0, 278.093, -427.696, -89.7264
1, -757.311, 430.048, 433.058
2, -933.089, 440.782, 457.261
3, -933.121, 440.856, 457.218
4, -933.046, 440.792, 457.208
5, -932.988, 440.751, 457.19
6, -932.969, 440.735, 457.187
7, -932.93, 440.718, 457.165
8, -933.089, 440.782, 457.261
9, -957.301, 512, 404.218
10, -957.251, 511.974, 404.193
11, -957.26, 511.975, 404.201
12, -957.282, 511.976, 404.222
13, -957.239, 511.954, 404.201
14, -957.226, 511.957, 404.184
15, -957.202, 511.944, 404.173
16, -957.195, 511.929, 404.181
17, -957.224, 511.945, 404.195
18, -957.231, 511.944, 404.203
19, -957.218, 511.934, 404.2
20, -957.204, 511.925, 404.195
21, -957.194, 511.929, 404.18
22, -957.185, 511.92, 404.18
23, -957.185, 511.911, 404.19
24, -957.183, 511.915, 404.183
25, -957.165, 511.908, 404.172
26, -957.174, 511.909, 404.181
27, -957.167, 511.901, 404.181
28, -957.173, 511.903, 404.185
29, -957.16, 511.9, 404.175
30, -957.154, 511.895, 404.174
31, -957.164, 511.897, 404.183
32, -957.165, 511.888, 404.192
33, -957.164, 511.891, 404.188
34, -957.163, 511.888, 404.19
35, -957.151, 511.882, 404.183
36, -957.146, 511.877, 404.185
37, -957.148, 511.876, 404.187
38, -957.146, 511.873, 404.188
39, -957.152, 511.88, 404.187
40, -957.152, 511.879, 404.188
41, -957.15, 511.872, 404.194
42, -957.161, 511.877, 404.2
43, -957.156, 511.877, 404.194
44, -957.156, 511.877, 404.194
45, -957.163, 511.878, 404.2
46, -957.163, 511.883, 404.195
47, -957.175, 511.889, 404.201
48, -957.176, 511.894, 404.198
49, -957.17, 511.888, 404.197
