iteration,fitness,x0,x1
0, 605.459, -480.41, 477.258
1, -859.143, 358.906, 512
2, -859.064, 358.827, 512
3, -897.879, 453.493, 467.465
4, -897.999, 453.563, 467.522
5, -898.055, 453.6, 467.545
6, -898.081, 453.627, 467.544
7, -898.125, 453.647, 467.572
8, -898.146, 453.655, 467.586
9, -898.112, 453.629, 467.578
10, -898.159, 453.654, 467.603
11, -898.135, 453.632, 467.599
12, -898.113, 453.628, 467.579
13, -898.14, 453.644, 467.591
14, -898.112, 453.625, 467.582
15, -898.11, 453.612, 467.594
16, -898.111, 453.618, 467.588
17, -898.103, 453.624, 467.572
18, -920.036, 512, 409.414
19, -920.034, 512, 409.412
20, -920.048, 512, 409.426
21, -920.054, 511.995, 409.437
22, -948.868, 480.807, 437.313
23, -948.849, 480.796, 437.305
24, -948.858, 480.801, 437.309
25, -948.847, 480.799, 437.299
26, -948.847, 480.797, 437.302
27, -948.857, 480.799, 437.309
28, -948.85, 480.796, 437.305
29, -948.851, 480.803, 437.299
30, -948.851, 480.81, 437.293
31, -948.844, 480.808, 437.287
32, -948.844, 480.805, 437.291
33, -948.841, 480.798, 437.295
34, -948.853, 480.801, 437.303
35, -948.851, 480.8, 437.303
36, -948.839, 480.794, 437.296
37, -948.834, 480.788, 437.297
38, -948.826, 480.782, 437.295
39, -948.825, 480.776, 437.301
40, -948.822, 480.77, 437.303
41, -948.816, 480.768, 437.3
42, -948.818, 480.771, 437.298
43, -948.813, 480.767, 437.297
44, -948.809, 480.765, 437.296
45, -948.797, 480.759, 437.29
46, -948.793, 480.754, 437.29
47, -948.797, 480.759, 437.288
48, -948.799, 480.755, 437.294
49, -948.805, 480.76, 437.296
