iteration,fitness,x0,x1
0, 470.803, -505.927, -135.022
1, -783.285, -292.241, 512
2, -860.53, 352.023, 511.344
3, -860.486, 352.056, 511.262
4, -860.389, 351.991, 511.226
5, -860.42, 351.985, 511.266
6, -860.45, 351.978, 511.306
7, -860.372, 351.937, 511.264
8, -860.394, 351.93, 511.296
9, -860.403, 351.917, 511.319
10, -860.411, 351.908, 511.337
11, -929.132, 433.576, 450.059
12, -929.147, 433.571, 450.08
13, -957.461, 512, 404.378
14, -957.48, 512, 404.397
15, -957.462, 512, 404.38
16, -957.447, 511.996, 404.368
17, -957.465, 511.998, 404.384
18, -957.471, 512, 404.388
19, -957.478, 512, 404.395
20, -957.47, 511.995, 404.392
21, -957.476, 511.988, 404.405
22, -957.48, 511.988, 404.409
23, -957.486, 511.994, 404.41
24, -957.481, 512, 404.398
25, -957.486, 512, 404.404
26, -957.49, 512, 404.408
27, -957.481, 512, 404.398
28, -957.471, 512, 404.388
29, -957.467, 511.993, 404.392
30, -957.472, 511.992, 404.397
31, -957.463, 511.991, 404.39
32, -957.47, 511.989, 404.398
33, -957.468, 511.984, 404.401
34, -957.464, 511.989, 404.393
35, -957.461, 511.982, 404.396
36, -957.469, 511.983, 404.403
37, -957.468, 511.98, 404.405
38, -957.463, 511.975, 404.405
39, -957.463, 511.981, 404.399
40, -957.457, 511.977, 404.397
41, -957.453, 511.976, 404.394
42, -957.464, 511.98, 404.4
43, -957.465, 511.975, 404.407
44, -957.464, 511.977, 404.404
45, -957.464, 511.973, 404.408
46, -957.464, 511.974, 404.406
47, -957.472, 511.979, 404.411
48, -957.474, 511.977, 404.414
49, -957.47, 511.972, 404.416
