iteration,fitness,x0,x1
0, -24.2227, 465.661, 443.177
1, -755.629, 512, 468.017
2, -889.061, 347.952, 501.703
3, -889.139, 347.972, 501.762
4, -889.047, 347.938, 501.703
5, -889.003, 347.947, 501.649
6, -889.064, 347.97, 501.687
7, -915.225, 512, 397.462
8, -915.198, 511.975, 397.46
9, -915.186, 511.977, 397.445
10, -915.19, 511.957, 397.469
11, -915.146, 511.934, 397.445
12, -915.158, 511.934, 397.458
13, -926.08, 507.58, 402.84
14, -926.082, 507.566, 402.857
15, -926.05, 507.549, 402.839
16, -926.059, 507.549, 402.849
17, -926.046, 507.549, 402.836
18, -926.055, 507.557, 402.837
19, -926.062, 507.569, 402.832
20, -926.072, 507.569, 402.842
21, -956.16, 512, 402.424
22, -956.144, 511.992, 402.416
23, -956.157, 512, 402.421
24, -956.137, 511.993, 402.409
25, -956.156, 512, 402.421
26, -956.139, 511.992, 402.411
27, -956.157, 511.999, 402.422
28, -956.164, 512, 402.429
29, -956.152, 511.995, 402.42
30, -956.144, 511.997, 402.412
31, -956.155, 512, 402.419
32, -956.146, 511.996, 402.414
33, -957.69, 511.998, 404.611
34, -957.697, 511.999, 404.617
35, -957.687, 511.996, 404.61
36, -957.681, 511.997, 404.602
37, -957.69, 512, 404.609
38, -957.683, 511.997, 404.605
39, -957.678, 511.997, 404.599
40, -957.668, 511.993, 404.593
41, -957.67, 512, 404.589
42, -957.671, 511.997, 404.593
43, -957.673, 512, 404.592
44, -957.677, 512, 404.596
45, -957.674, 512, 404.592
46, -957.676, 512, 404.594
47, -957.68, 512, 404.598
48, -957.678, 511.997, 404.6
49, -957.784, 512, 404.704
