iteration,fitness,x0,x1
0, -876.413, -473.532, 382.601
1, -877.633, -473.489, 382.313
2, -877.396, -473.394, 382.164
3, -877.436, -473.385, 382.214
4, -877.453, -473.414, 382.203
5, -877.488, -473.432, 382.22
6, -877.51, -473.42, 382.256
7, -915.166, 512, 397.402
8, -915.171, 511.975, 397.432
9, -915.186, 511.991, 397.431
10, -915.151, 511.976, 397.409
11, -915.16, 511.98, 397.415
12, -915.129, 511.957, 397.406
13, -915.164, 511.973, 397.426
14, -915.179, 511.97, 397.445
15, -950.034, 512, 406.819
16, -950.027, 512, 406.811
17, -950.04, 511.996, 406.829
18, -950.043, 511.99, 406.837
19, -950.047, 511.995, 406.837
20, -950.058, 512, 406.843
21, -950.054, 512, 406.839
22, -950.057, 511.999, 406.842
23, -950.05, 512, 406.834
24, -950.031, 511.989, 406.827
25, -950.027, 511.987, 406.824
26, -957.654, 512, 404.573
27, -957.655, 512, 404.573
28, -957.648, 511.995, 404.571
29, -957.652, 512, 404.57
30, -957.637, 511.993, 404.562
31, -957.63, 511.988, 404.56
32, -957.623, 511.987, 404.554
33, -957.627, 511.995, 404.551
34, -957.618, 511.991, 404.545
35, -957.617, 511.988, 404.547
36, -957.613, 511.987, 404.545
37, -957.617, 511.984, 404.552
38, -957.607, 511.98, 404.545
39, -957.615, 511.985, 404.548
40, -957.611, 511.98, 404.55
41, -957.619, 511.981, 404.556
42, -957.624, 511.98, 404.562
43, -957.633, 511.983, 404.568
44, -957.637, 511.983, 404.572
45, -957.639, 511.979, 404.578
46, -957.638, 511.978, 404.578
47, -957.635, 511.975, 404.578
48, -957.633, 511.97, 404.581
49, -957.64, 511.972, 404.587
