iteration,fitness,x0,x1
0, -41.8106, -409.832, -379.84
1, -798.091, -297.184, 512
2, -828.942, 343.877, 512
3, -958.006, 512, 403.467
4, -958.045, 511.993, 403.512
5, -958.021, 511.943, 403.539
6, -958.115, 511.992, 403.584
7, -958.107, 511.986, 403.582
8, -958.076, 511.978, 403.56
9, -958.081, 512, 403.542
10, -958.083, 511.982, 403.562
11, -958.045, 511.969, 403.537
12, -958.044, 511.976, 403.529
13, -958.025, 511.971, 403.515
14, -958.027, 511.961, 403.526
15, -958.023, 511.947, 403.537
16, -958.022, 511.952, 403.532
17, -958.019, 511.966, 403.514
18, -958.043, 511.979, 403.525
19, -958.032, 511.978, 403.515
20, -958.054, 511.992, 403.523
21, -958.058, 512, 403.519
22, -958.054, 512, 403.515
23, -958.038, 511.987, 403.511
24, -958.034, 511.977, 403.517
25, -958.027, 511.982, 403.506
26, -958.01, 511.971, 403.499
27, -958.016, 511.974, 403.504
28, -958.009, 511.965, 403.504
29, -958.008, 511.965, 403.503
30, -958.015, 511.967, 403.509
31, -958.021, 511.973, 403.509
32, -958.023, 511.968, 403.516
33, -958.031, 511.97, 403.522
34, -958.028, 511.975, 403.514
35, -958.03, 511.98, 403.511
36, -958.022, 511.973, 403.509
37, -958.012, 511.967, 403.505
38, -958.012, 511.974, 403.498
39, -958.022, 511.979, 403.504
40, -958.03, 511.981, 403.51
41, -958.031, 511.978, 403.514
42, -958.031, 511.984, 403.508
43, -958.034, 511.983, 403.512
44, -958.038, 511.982, 403.518
45, -958.046, 511.986, 403.521
46, -958.049, 511.991, 403.519
47, -958.044, 511.993, 403.512
48, -958.046, 511.993, 403.515
49, -958.042, 511.989, 403.514
