iteration,fitness,x0,x1
0, 284.754, 239.82, 326.174
1, -868.938, -454.556, 389.5
2, -915.633, 512, 397.883
3, -924.94, 511.943, 397.95
4, -924.824, 511.886, 397.887
5, -915.526, 511.902, 397.869
6, -915.569, 511.941, 397.875
7, -915.554, 511.965, 397.836
8, -915.536, 511.98, 397.802
9, -915.535, 511.955, 397.825
10, -944.153, 508.927, 400.198
11, -954.786, 512, 405.466
12, -954.759, 511.984, 405.455
13, -954.761, 511.971, 405.47
14, -954.727, 511.954, 405.452
15, -954.727, 511.96, 405.446
16, -954.743, 511.975, 405.448
17, -954.737, 511.984, 405.432
18, -954.729, 511.991, 405.417
19, -954.728, 511.979, 405.428
20, -954.704, 511.97, 405.414
21, -954.696, 511.966, 405.409
22, -954.712, 511.978, 405.413
23, -954.725, 511.985, 405.42
24, -954.729, 511.981, 405.428
25, -954.735, 511.992, 405.422
26, -954.734, 511.995, 405.419
27, -954.738, 511.999, 405.419
28, -954.739, 511.993, 405.425
29, -954.735, 511.995, 405.419
30, -954.723, 511.989, 405.413
31, -958.389, 512, 403.853
32, -958.384, 512, 403.848
33, -958.373, 511.995, 403.842
34, -958.367, 511.988, 403.843
35, -958.352, 511.98, 403.835
36, -958.351, 511.974, 403.84
37, -958.354, 511.982, 403.836
38, -958.368, 511.989, 403.843
39, -958.377, 511.991, 403.85
40, -958.367, 511.984, 403.847
41, -958.366, 511.978, 403.852
42, -958.372, 511.981, 403.855
43, -958.369, 511.975, 403.858
44, -958.37, 511.972, 403.863
45, -958.367, 511.966, 403.865
46, -958.367, 511.964, 403.867
47, -958.368, 511.97, 403.862
48, -958.368, 511.969, 403.862
49, -958.366, 511.973, 403.858
