iteration,fitness,x0,x1
0, -248.21, -352.122, -510.677
1, -593.822, -193.332, -512
2, -723.795, -367.841, -434.913
3, -847.9, 512, 393.024
4, -853.312, 349.958, 512
5, -853.299, 349.944, 512
6, -853.247, 349.936, 511.952
7, -853.294, 349.957, 511.982
8, -853.301, 349.973, 511.973
9, -853.269, 349.941, 511.971
10, -853.26, 349.924, 511.978
11, -937.399, 512, 399.103
12, -937.385, 511.986, 399.102
13, -937.389, 511.97, 399.123
14, -937.414, 511.99, 399.128
15, -937.422, 512, 399.126
16, -937.407, 511.986, 399.125
17, -937.404, 511.978, 399.129
18, -937.411, 511.983, 399.133
19, -937.403, 511.976, 399.131
20, -937.413, 511.978, 399.14
21, -937.428, 511.982, 399.15
22, -937.427, 511.971, 399.161
23, -937.421, 511.96, 399.165
24, -957.935, 512, 403.394
25, -957.946, 512, 403.406
26, -957.953, 512, 403.413
27, -957.958, 511.998, 403.42
28, -957.963, 512, 403.423
29, -957.945, 511.992, 403.413
30, -957.946, 511.999, 403.407
31, -957.948, 512, 403.408
32, -957.955, 512, 403.415
33, -957.954, 512, 403.414
34, -957.962, 512, 403.422
35, -957.961, 511.999, 403.422
36, -957.954, 511.992, 403.422
37, -957.957, 511.997, 403.42
38, -957.949, 511.99, 403.419
39, -957.945, 511.992, 403.413
40, -957.94, 511.986, 403.414
41, -957.928, 511.981, 403.407
42, -957.936, 511.986, 403.41
43, -957.938, 511.984, 403.414
44, -957.948, 511.989, 403.42
45, -957.952, 511.991, 403.421
46, -957.953, 511.992, 403.421
47, -957.952, 511.995, 403.416
48, -957.948, 511.993, 403.414
49, -957.944, 511.989, 403.415
