iteration,fitness,x0,x1
0, -191.029, -431.537, -131.975
1, -847.51, 348.033, 512
2, -847.607, 348.136, 512
3, -847.606, 348.168, 511.967
4, -847.653, 348.185, 512
5, -847.678, 348.212, 512
6, -847.665, 348.235, 511.963
7, -847.614, 348.196, 511.946
8, -847.61, 348.182, 511.957
9, -847.637, 348.186, 511.983
10, -847.664, 348.197, 512
11, -847.652, 348.198, 511.986
12, -847.634, 348.195, 511.97
13, -847.665, 348.204, 511.993
14, -847.632, 348.187, 511.976
15, -847.631, 348.183, 511.978
16, -847.644, 348.184, 511.992
17, -847.639, 348.173, 511.997
18, -866.318, 359.123, 504.646
19, -866.313, 359.113, 504.651
20, -866.328, 359.122, 504.658
21, -866.334, 359.135, 504.651
22, -942.354, 512, 407.61
23, -942.342, 511.987, 407.611
24, -942.35, 511.989, 407.616
25, -942.351, 511.984, 407.622
26, -942.348, 511.977, 407.626
27, -942.359, 511.981, 407.633
28, -942.349, 511.973, 407.631
29, -942.349, 511.973, 407.631
30, -957.788, 512, 404.708
31, -957.796, 512, 404.715
32, -957.805, 512, 404.724
33, -957.8, 512, 404.72
34, -957.794, 511.999, 404.714
35, -957.803, 512, 404.722
36, -957.79, 511.993, 404.716
37, -957.789, 511.992, 404.717
38, -957.795, 511.992, 404.722
39, -957.792, 511.987, 404.725
40, -957.8, 511.991, 404.728
41, -957.804, 511.998, 404.725
42, -957.803, 512, 404.723
43, -957.804, 512, 404.724
44, -957.799, 511.994, 404.724
45, -957.79, 511.992, 404.718
46, -957.794, 511.994, 404.719
47, -957.793, 511.992, 404.72
48, -957.787, 511.989, 404.717
49, -957.786, 511.991, 404.715
