iteration,fitness,x0,x1
0, 133.664, 372.887, -253.242
1, -714.596, 279.589, -490.419
2, -763.612, 512, 467.095
3, -784.679, -441.842, 393.485
4, -848.787, 363.48, 512
5, -867.22, 512, 394.095
6, -951.896, 512, 401.172
7, -951.914, 512, 401.19
8, -951.904, 512, 401.18
9, -951.926, 512, 401.202
10, -951.917, 511.988, 401.204
11, -951.917, 511.972, 401.222
12, -951.909, 511.963, 401.222
13, -951.926, 511.961, 401.241
14, -951.928, 511.957, 401.248
15, -951.904, 511.949, 401.231
16, -951.902, 511.947, 401.231
17, -951.904, 511.946, 401.235
18, -951.9, 511.932, 401.244
19, -951.892, 511.92, 401.249
20, -951.882, 511.916, 401.243
21, -951.878, 511.916, 401.238
22, -951.878, 511.922, 401.233
23, -951.88, 511.921, 401.235
24, -951.892, 511.931, 401.237
25, -951.895, 511.926, 401.245
26, -951.894, 511.932, 401.238
27, -951.901, 511.937, 401.24
28, -951.908, 511.946, 401.239
29, -951.911, 511.942, 401.245
30, -951.908, 511.933, 401.252
31, -951.919, 511.94, 401.256
32, -951.91, 511.931, 401.256
33, -951.91, 511.924, 401.263
34, -951.904, 511.926, 401.255
35, -951.91, 511.934, 401.252
36, -951.913, 511.933, 401.257
37, -951.916, 511.935, 401.258
38, -951.916, 511.93, 401.262
39, -951.922, 511.93, 401.269
40, -951.926, 511.928, 401.275
41, -951.915, 511.924, 401.267
42, -951.915, 511.922, 401.27
43, -951.92, 511.925, 401.272
44, -951.931, 511.931, 401.277
45, -951.923, 511.927, 401.273
46, -951.925, 511.927, 401.274
47, -951.921, 511.93, 401.268
48, -951.914, 511.927, 401.264
49, -951.91, 511.926, 401.261
